"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2001","SEA","2043","6474","169","927","881","174","9.5%","15.3%",".157",".320",".288",".360",".445",".347","","116","16.2","143.0","84.6","44.4"
"2019","HOU","2309","6394","288","920","891","67","10.1%","18.2%",".221",".296",".274",".352",".495",".355","","126","-9.5","201.6","-2.5","41.3"
"2016","CHC","2332","6335","199","808","767","66","10.4%","21.1%",".173",".302",".256",".343",".429",".333","","106","17.3","61.3","104.8","37.1"
"2011","NYY","2301","6306","222","867","836","147","9.9%","18.0%",".181",".292",".263",".343",".444",".345","","113","6.6","101.6","39.7","37.0"
"2015","TOR","2337","6231","232","891","852","88","9.1%","18.5%",".188",".298",".269",".340",".457",".344","","117","11.0","135.9","6.6","36.7"
"2011","BOS","2269","6414","203","875","842","102","9.0%","17.3%",".181",".314",".280",".349",".461",".352","","117","-12.2","114.3","16.2","36.3"
"2013","BOS","2264","6382","178","853","819","123","9.1%","20.5%",".169",".329",".277",".349",".446",".347","","114","13.3","116.7","11.9","36.2"
"2010","CIN","2370","6285","188","790","761","93","8.3%","19.4%",".164",".314",".272",".338",".436",".340","","106","12.7","57.2","96.8","35.7"
"2003","ATL","2362","6378","235","907","872","68","8.5%","14.6%",".192",".302",".284",".349",".475",".354","","112","9.5","105.3","46.7","35.6"
"2016","BOS","2284","6320","208","878","836","83","8.8%","18.4%",".179",".320",".282",".348",".461",".346","","113","10.6","109.9","15.9","35.2"
"2009","TBR","2345","6223","199","803","765","194","10.3%","19.7%",".177",".303",".263",".343",".439",".342","","109","21.6","90.5","41.8","35.1"
"2002","SFG","2263","6298","198","783","751","74","9.8%","15.3%",".175",".289",".267",".344",".442",".338","","109","2.8","73.4","72.1","35.1"
"2007","PHI","2446","6537","213","892","850","138","9.8%","18.4%",".184",".311",".274",".354",".458",".351","","105","20.6","63.6","78.5","34.9"
"2019","LAD","2413","6281","279","886","861","57","9.7%","21.6%",".215",".291",".257",".338",".472",".338","","111","11.9","103.3","51.7","34.8"
"2018","LAD","2574","6358","235","804","756","75","10.2%","22.6%",".191",".294",".250",".333",".442",".333","","111","11.4","99.3","38.3","34.8"
"2000","SFG","2123","6418","226","925","889","79","11.0%","16.1%",".194",".303",".278",".362",".472",".359","","112","-1.3","103.6","53.7","34.7"
"2003","STL","2391","6466","196","876","827","82","9.0%","14.7%",".175",".302",".279",".350",".454",".346","","109","9.2","83.9","53.5","34.4"
"2008","STL","2396","6370","174","779","744","73","9.1%","15.5%",".152",".312",".281",".350",".433",".342","","107","-10.0","46.4","90.6","34.0"
"2011","TEX","2186","6261","210","855","807","143","7.6%","14.9%",".177",".304",".283",".340",".460",".347","","112","20.6","107.4","5.3","33.9"
"2007","NYY","2366","6528","201","968","929","123","9.8%","15.2%",".174",".318",".290",".366",".463",".361","","119","11.9","168.4","-47.2","33.9"
"2009","NYY","2369","6449","244","915","881","111","10.3%","15.7%",".194",".306",".283",".362",".478",".365","","117","0.2","137.5","-25.5","33.8"
"2012","LAA","2267","6121","187","767","732","134","7.3%","18.2%",".159",".311",".274",".332",".433",".331","","113","13.5","109.8","5.9","33.8"
"2017","HOU","2313","6271","238","896","854","98","8.1%","17.3%",".196",".309",".282",".346",".478",".349","","121","-0.4","162.6","-37.9","33.7"
"2004","STL","2381","6297","214","855","817","111","8.7%","17.2%",".182",".307",".278",".344",".460",".344","","107","18.9","72.1","60.7","33.6"
"2012","NYY","2367","6231","245","804","774","93","9.1%","18.9%",".188",".293",".265",".337",".453",".342","","113","2.3","97.2","12.1","33.6"
"2017","LAD","2464","6191","221","770","730","77","10.5%","22.3%",".188",".293",".249",".334",".437",".330","","104","5.8","40.7","90.2","33.3"
"2008","BOS","2293","6402","173","845","807","120","10.1%","16.7%",".168",".315",".280",".358",".447",".351","","110","-4.7","72.2","35.4","32.9"
"2008","PHI","2396","6273","214","799","762","136","9.3%","17.8%",".182",".283",".255",".332",".438",".334","","98","23.6","4.7","123.4","32.8"
"2003","BOS","2313","6530","238","961","932","88","9.5%","14.4%",".202",".307",".289",".360",".491",".364","","120","3.5","167.2","-61.5","32.6"
"2019","NYY","2312","6245","306","943","904","55","9.1%","23.0%",".222",".306",".267",".339",".490",".346","","116","-0.8","128.4","-14.5","32.5"
"2018","BOS","2345","6302","208","876","829","125","9.0%","19.9%",".185",".309",".268",".339",".453",".340","","111","-5.1","74.1","30.9","32.2"
"2018","OAK","2403","6255","227","813","778","35","8.8%","22.1%",".187",".294",".252",".325",".439",".329","","112","-5.8","83.2","23.0","32.2"
"2009","PHI","2285","6338","224","820","788","119","9.3%","18.2%",".189",".286",".258",".334",".447",".339","","103","20.0","42.5","78.4","32.0"
