"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2015","STL","100","62","2.94","677","162","1","0","62","84","15","1464.2","6134","1359","525","478","123","477","37","45","48","5","1329"
"2011","PHI","102","60","3.02","556","162","18","7","47","56","10","1477.0","6069","1320","529","496","120","404","41","47","23","6","1299"
"2014","WSN","96","66","3.03","620","162","5","4","45","93","17","1470.2","6020","1351","555","495","110","352","26","51","37","2","1288"
"2018","HOU","103","59","3.11","672","162","3","2","46","105","21","1455.0","5913","1164","534","503","152","435","4","66","67","4","1687"
"2002","ATL","101","59","3.13","630","161","3","2","57","79","14","1467.1","6131","1302","565","511","123","554","63","42","40","4","1058"
"2016","CHC","103","58","3.15","665","162","5","2","38","74","15","1459.2","5933","1125","556","511","163","495","24","63","80","0","1441"
"2003","LAD","85","77","3.16","600","162","3","3","58","81","8","1457.2","6001","1254","556","511","127","526","35","40","50","5","1289"
"2014","SEA","87","75","3.17","659","162","2","1","51","86","11","1452.0","5974","1240","554","512","137","463","36","52","80","8","1317"
"2013","ATL","96","66","3.18","628","162","1","0","53","91","16","1450.1","5989","1326","548","512","127","409","35","51","50","3","1232"
"2012","TBR","90","72","3.19","634","162","7","4","50","77","8","1459.2","6000","1233","577","518","139","469","35","54","59","4","1383"
"2011","SFG","86","76","3.21","642","162","3","2","52","81","14","1468.0","6130","1260","578","523","96","559","46","50","42","4","1316"
"2014","OAK","88","74","3.22","603","162","7","3","31","61","21","1463.1","5971","1269","572","524","147","406","28","48","59","1","1244"
"2015","PIT","98","64","3.23","662","162","0","0","54","99","14","1489.2","6215","1392","596","534","110","453","38","75","67","4","1338"
"2013","LAD","92","70","3.25","666","162","7","4","46","83","19","1450.1","6032","1321","582","524","127","460","44","43","66","3","1292"
"2014","SDP","77","85","3.27","643","162","4","3","41","75","8","1438.2","6006","1300","577","523","117","462","32","46","57","4","1284"
"2013","PIT","94","68","3.27","627","162","3","0","55","86","15","1470.2","6147","1299","577","535","101","515","26","70","81","6","1261"
"2017","CLE","102","60","3.30","659","162","7","3","37","87","10","1440.2","5866","1267","564","529","163","406","15","45","48","1","1614"
"2012","WSN","98","64","3.34","644","162","3","1","51","105","17","1468.1","6133","1296","594","545","129","497","32","47","62","4","1325"
"2012","CIN","97","65","3.34","587","162","9","2","56","73","18","1453.0","6056","1356","588","540","152","427","33","51","34","7","1248"
"2012","LAD","86","76","3.35","668","162","2","2","40","81","19","1449.2","6068","1277","597","540","122","539","62","45","46","2","1276"
